country_code,country,year,indicator_count,flagged_observation_count
ARG,Argentina,2010,6,0
ARG,Argentina,2011,7,0
ARG,Argentina,2012,6,0
ARG,Argentina,2013,6,0
ARG,Argentina,2014,6,0
ARG,Argentina,2015,7,0
ARG,Argentina,2016,8,0
ARG,Argentina,2017,9,0
ARG,Argentina,2018,9,0
ARG,Argentina,2019,10,0
ARG,Argentina,2020,8,0
ARG,Argentina,2021,7,0
ARG,Argentina,2022,7,0
ARG,Argentina,2023,8,0
ARG,Argentina,2024,4,0
ARG,Argentina,2025,2,0
AUS,Australia,2010,12,0
AUS,Australia,2011,11,0
AUS,Australia,2012,14,0
AUS,Australia,2013,12,0
AUS,Australia,2014,13,0
AUS,Australia,2015,12,0
AUS,Australia,2016,13,0
AUS,Australia,2017,11,0
AUS,Australia,2018,14,0
AUS,Australia,2019,13,0
AUS,Australia,2020,14,0
AUS,Australia,2021,11,0
AUS,Australia,2022,12,0
AUS,Australia,2023,11,0
AUS,Australia,2024,9,0
AUS,Australia,2025,5,0
AUT,Austria,2010,13,0
AUT,Austria,2011,14,0
AUT,Austria,2012,14,0
AUT,Austria,2013,15,0
AUT,Austria,2014,14,0
AUT,Austria,2015,14,0
AUT,Austria,2016,13,0
AUT,Austria,2017,15,0
AUT,Austria,2018,15,0
AUT,Austria,2019,14,0
AUT,Austria,2020,13,0
AUT,Austria,2021,15,0
AUT,Austria,2022,17,0
AUT,Austria,2023,13,0
AUT,Austria,2024,12,0
AUT,Austria,2025,5,0
BEL,Belgium,2010,14,0
BEL,Belgium,2011,12,0
BEL,Belgium,2012,16,0
BEL,Belgium,2013,14,0
BEL,Belgium,2014,14,0
BEL,Belgium,2015,13,1
BEL,Belgium,2016,12,0
BEL,Belgium,2017,13,0
BEL,Belgium,2018,15,1
BEL,Belgium,2019,14,0
BEL,Belgium,2020,14,0
BEL,Belgium,2021,14,0
BEL,Belgium,2022,14,0
BEL,Belgium,2023,12,0
BEL,Belgium,2024,10,2
BEL,Belgium,2025,5,0
BGR,Bulgaria,2010,13,0
BGR,Bulgaria,2011,12,0
BGR,Bulgaria,2012,12,0
BGR,Bulgaria,2013,14,0
BGR,Bulgaria,2014,14,0
BGR,Bulgaria,2015,12,1
BGR,Bulgaria,2016,12,0
BGR,Bulgaria,2017,13,0
BGR,Bulgaria,2018,14,0
BGR,Bulgaria,2019,12,0
BGR,Bulgaria,2020,12,0
BGR,Bulgaria,2021,13,0
BGR,Bulgaria,2022,14,0
BGR,Bulgaria,2023,11,0
BGR,Bulgaria,2024,9,0
BGR,Bulgaria,2025,5,0
BGR,Bulgaria,2026,1,0
BRA,Brazil,2010,7,0
BRA,Brazil,2011,8,0
BRA,Brazil,2012,10,0
BRA,Brazil,2013,9,0
BRA,Brazil,2014,10,0
BRA,Brazil,2015,10,0
BRA,Brazil,2016,10,0
BRA,Brazil,2017,10,0
BRA,Brazil,2018,12,0
BRA,Brazil,2019,10,0
BRA,Brazil,2020,10,0
BRA,Brazil,2021,9,0
BRA,Brazil,2022,10,0
BRA,Brazil,2023,8,0
BRA,Brazil,2024,5,0
BRA,Brazil,2025,2,0
CAN,Canada,2010,16,2
CAN,Canada,2011,14,2
CAN,Canada,2012,15,2
CAN,Canada,2013,13,2
CAN,Canada,2014,13,2
CAN,Canada,2015,18,4
CAN,Canada,2016,14,2
CAN,Canada,2017,13,2
CAN,Canada,2018,14,2
CAN,Canada,2019,15,2
CAN,Canada,2020,14,2
CAN,Canada,2021,14,2
CAN,Canada,2022,16,2
CAN,Canada,2023,15,3
CAN,Canada,2024,9,2
CAN,Canada,2025,7,2
CHE,Switzerland,2010,13,0
CHE,Switzerland,2011,13,0
CHE,Switzerland,2012,14,0
CHE,Switzerland,2013,13,0
CHE,Switzerland,2014,13,0
CHE,Switzerland,2015,14,0
CHE,Switzerland,2016,13,0
CHE,Switzerland,2017,11,0
CHE,Switzerland,2018,15,0
CHE,Switzerland,2019,13,0
CHE,Switzerland,2020,13,0
CHE,Switzerland,2021,13,0
CHE,Switzerland,2022,14,2
CHE,Switzerland,2023,13,1
