indicator_code,indicator,domain,year,independent_period,australia_value,australia_status_code,better_direction,same_year_country_count,same_year_median,same_year_q25,same_year_q75,australia_favourable_rank,australia_favourable_percentile,comparison_is_thin,any_peer_flagged
11_1,Life satisfaction,Subjective well-being,2019,2019,7.5,A,higher,6,7.58,6.375,7.99,4.0,40.0,True,True
11_1,Life satisfaction,Subjective well-being,2020,2020,7.2,A,higher,6,7.295,6.3,7.844575675,4.0,40.0,True,False
11_2,Negative affect balance,Subjective well-being,2010,2008-10,12.2440200303,A,lower,47,12.2440200303,9.105123662899999,16.69201016345,24.0,50.0,False,False
11_2,Negative affect balance,Subjective well-being,2011,2011-13,10.6348925558,A,lower,47,12.4091260044,10.21123775725,18.5512026659,16.0,67.3913043478261,False,False
11_2,Negative affect balance,Subjective well-being,2012,2011-13,10.6348925558,A,lower,47,12.4091260044,10.21123775725,18.5512026659,16.0,67.3913043478261,False,False
11_2,Negative affect balance,Subjective well-being,2013,2011-13,10.6348925558,A,lower,47,12.4091260044,10.21123775725,18.5512026659,16.0,67.3913043478261,False,False
11_2,Negative affect balance,Subjective well-being,2014,2014-16,12.0890789187,A,lower,47,12.6010063629,9.94460664345,17.7642931946,21.0,56.52173913043478,False,False
11_2,Negative affect balance,Subjective well-being,2015,2014-16,12.0890789187,A,lower,47,12.6010063629,9.94460664345,17.7642931946,21.0,56.52173913043478,False,False
11_2,Negative affect balance,Subjective well-being,2016,2014-16,12.0890789187,A,lower,47,12.6010063629,9.94460664345,17.7642931946,21.0,56.52173913043478,False,False
11_2,Negative affect balance,Subjective well-being,2017,2017-19,12.7330695414,A,lower,47,13.1701114402,9.50392711265,17.122541321699998,22.0,54.34782608695652,False,False
11_2,Negative affect balance,Subjective well-being,2018,2017-19,12.7330695414,A,lower,47,13.1701114402,9.50392711265,17.122541321699998,22.0,54.34782608695652,False,False
11_2,Negative affect balance,Subjective well-being,2019,2017-19,12.7330695414,A,lower,47,13.1701114402,9.50392711265,17.122541321699998,22.0,54.34782608695652,False,False
11_2,Negative affect balance,Subjective well-being,2020,2020-22,12.0148292553,A,lower,47,12.7990710926,10.5089822245,15.13479350675,21.0,56.52173913043478,False,False
11_2,Negative affect balance,Subjective well-being,2021,2020-22,12.0148292553,A,lower,47,12.7990710926,10.5089822245,15.13479350675,21.0,56.52173913043478,False,False
11_2,Negative affect balance,Subjective well-being,2022,2020-22,12.0148292553,A,lower,47,12.7990710926,10.5089822245,15.13479350675,21.0,56.52173913043478,False,False
11_2,Negative affect balance,Subjective well-being,2023,2023-25,14.8530429265,A,lower,47,12.3919603935,9.83394084605,14.8933397828,35.0,26.08695652173913,False,False
11_2,Negative affect balance,Subjective well-being,2024,2023-25,14.8530429265,A,lower,47,12.3919603935,9.83394084605,14.8933397828,35.0,26.08695652173913,False,False
11_2,Negative affect balance,Subjective well-being,2025,2023-25,14.8530429265,A,lower,47,12.3919603935,9.83394084605,14.8933397828,35.0,26.08695652173913,False,False
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2010,2010,44625.0,A,higher,36,34823.0,25063.75,43286.25,9.0,77.14285714285714,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2011,2011,45369.0,A,higher,36,35157.5,24919.75,43939.75,8.0,80.0,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2012,2012,44830.0,A,higher,37,34998.0,24624.0,44697.0,8.0,80.55555555555556,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2013,2013,45377.0,A,higher,37,34861.0,24368.0,44273.0,8.0,80.55555555555556,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2014,2014,46031.0,A,higher,37,34627.0,24948.0,44691.0,8.0,80.55555555555556,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2015,2015,46089.0,A,higher,37,35487.0,26378.0,44966.0,9.0,77.77777777777777,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2016,2016,46473.0,A,higher,37,36532.0,27143.0,45514.0,9.0,77.77777777777777,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2017,2017,46831.0,A,higher,37,38019.0,27881.0,46077.0,9.0,77.77777777777777,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2018,2018,47430.0,A,higher,37,38650.0,30038.0,46234.0,7.0,83.33333333333333,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2019,2019,48749.0,A,higher,37,40048.0,30890.0,46994.0,6.0,86.11111111111111,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2020,2020,50667.0,A,higher,37,40594.0,31810.0,46085.0,4.0,91.66666666666667,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2021,2021,52430.0,A,higher,37,41879.0,33131.0,47949.0,4.0,91.66666666666667,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2022,2022,50439.0,A,higher,36,41824.0,33330.5,47663.0,6.0,85.71428571428571,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2023,2023,49503.0,A,higher,34,42271.5,35220.25,48269.25,7.0,81.81818181818181,False,True
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,2024,2024,50629.0,A,higher,32,42721.0,36412.25,48936.5,7.0,80.64516129032258,False,True
1_2,Top average household disposable income quintile,Income and wealth,2012,2012,5.5211588883,A,lower,32,5.4313115261,4.239449739425,6.200597047775,17.0,48.38709677419355,False,False
1_2,Top average household disposable income quintile,Income and wealth,2014,2014,5.662882075,A,lower,35,5.662882075,4.2003455162000005,6.8565449715,18.0,50.0,False,False
1_2,Top average household disposable income quintile,Income and wealth,2016,2016,5.4861176031,A,lower,36,5.199795367,4.372790875874999,6.491326928125,20.0,45.714285714285715,False,False
1_2,Top average household disposable income quintile,Income and wealth,2018,2018,5.5994794024,A,lower,39,5.1158409119,4.20081223675,6.48162846305,23.0,42.10526315789474,False,False
1_2,Top average household disposable income quintile,Income and wealth,2020,2020,5.5644570179,A,lower,39,5.1662025452,4.11700210085,6.2086620330999995,23.0,42.10526315789474,False,False
1_3,Median net wealth,Income and wealth,2012,2012,347898.0,A,higher,4,277555.5,203849.25,336166.5,1.0,100.0,True,False
1_3,Median net wealth,Income and wealth,2014,2014,344999.0,A,higher,17,173949.0,128856.0,251367.0,3.0,87.5,True,True
1_3,Median net wealth,Income and wealth,2018,2018,368870.0,A,higher,7,239172.0,202848.5,323989.0,2.0,83.33333333333333,True,False
